1.700E+03     	3.00E+02    	1.5	X	1.5 	-	X	F	  12224	  ++	D	Delta(1700)(D33) 	uuu             
1.700E+03     	3.00E+02    	1.5	X	1.5 	-	X	F	  12214	   +	D	Delta(1700)(D33) 	uud             
1.700E+03     	3.00E+02    	1.5	X	1.5 	-	X	F	  12114	   0	D	Delta(1700)(D33) 	udd             
1.700E+03     	3.00E+02    	1.5	X	1.5 	-	X	F	  11114	   -	D	Delta(1700)(D33) 	ddd             
1.115683E+03  	2.518E-12   	0  	X	0.5 	+	X	F	   3122	   0	R	Lambda(P01)      	uds                        
1.18937E+03   	8.264E-12   	1  	X	0.5 	+	X	F	   3222	   +	R	Sigma(P11)       	uus             
1.192642E+03  	9.0E-03     	1  	X	0.5 	+	X	F	   3212	   0	R	Sigma(P11)       	uds             
1.197449E+03  	4.480E-12   	1  	X	0.5 	+	X	F	   3112	   -	R	Sigma(P11)       	dds   
1.3828E+03    	3.58E+01    	1  	X	1.5 	+	X	F	   3224	   +	R	Sigma(1385)(P13) 	uus             
1.38370E+03   	3.6E+01     	1  	X	1.5 	+	X	F	   3214	   0	R	Sigma(1385)(P13) 	uds             
1.3872E+03    	3.94E+01    	1  	X	1.5 	+	X	F	   3114	   -	R	Sigma(1385)(P13) 	dds 
1.31486E+03   	2.28E-12    	0.5	X	0.5 	+	X	F	   3322	   0	R	Xi(P11)          	uss  
1.32171E+03   	4.04E-12    	0.5	X	0.5 	+	X	F	   3312	   -	R	Xi(P11)          	dss  
1.67245E+03   	8.07E-12    	0  	X	1.5 	+	X	F	   3334	   -	R	Omega            	sss 
1.8761E+03    	-1      	    0	X	1.0 	+	X	F	1000010200 	  +	S	Deuteron        uududd             
2.8094E+03    	-1      	    0.5	X	0.5 	+	X	F	1000010300	  +	S	Tritium         uududdudd              
2.8094E+03    	-1      	    0.5	X	0.5 	+	X	F	1000020300	  ++	S	Helium3         uuduududd 
3.7284E+03    	-1      	    0	X	0 	    +	X	F	1000020400	  ++	S	Helium4         uuduududdudd   
3.74861E+03    	0.50      	    0	X	0 	    +	X	F	1000020401    ++	S	Helium4(0+)     uuduududdudd  
3.74897E+03    	0.84      	    0	X	0 	    -	X	F	1000020402    ++	S	Helium4(0-a)    uuduududdudd  
3.75024E+03    	2.01      	    0	X	2 	    -	X	F	1000020403    ++	S	Helium4(2-a)    uuduududdudd  
3.75173E+03    	5.01      	    0	X	2 	    -	X	F	1000020404    ++	S	Helium4(2-b)    uuduududdudd  
3.75204E+03    	6.20      	    0	X	1 	    -	X	F	1000020405    ++	S	Helium4(1-a)    uuduududdudd  
3.75265E+03    	6.10      	    0	X	1 	    -	X	F	1000020406    ++	S	Helium4(1-b)    uuduududdudd  
3.75368E+03    	7.97      	    0	X	0 	    -	X	F	1000020407    ++	S	Helium4(0-b)    uuduududdudd  
3.75435E+03    12.66      	    0	X	1 	    -	X	F	1000020408    ++	S	Helium4(1-c)    uuduududdudd
3.75582E+03    	8.69      	    0	X	2 	    +	X	F	1000020409    ++	S	Helium4(2+a)    uuduududdudd 
3.75671E+03     9.89            0	X	1       +	X	F	1000020410    ++	S	Helium4(1+)     uuduududdudd  
3.75677E+03     3.92            0	X	1       -	X	F	1000020411    ++	S	Helium4(1-d)    uuduududdudd  
3.75679E+03     8.75            0	X	2       -	X	F	1000020412    ++	S	Helium4(1-e)    uuduududdudd  
3.75704E+03     4.89            0	X	0       -	X	F	1000020413    ++	S	Helium4(0-c)    uuduududdudd  
3.75707E+03     3.78            0	X	2       +	X	F	1000020414    ++	S	Helium4(2+b)    uuduududdudd
3.75829E+03     9.72            0	X	2       +	X	F	1000020415    ++	S	Helium4(2+c)    uuduududdudd 
